market,year,genre,genre_harmonized,streams_total,market_share_percent,index_growth_2017_2021,shannon_diversity,success_rate_percent,market_potential_score,growth_momentum_index
BR,2017,Country,Country,672700.0,0.01,100.0,1.545,70.0,36.0,100.0
BR,2017,Electronic,Electronic,715392717.0,9.71,100.0,1.545,41.54,31.35,100.0
BR,2017,Hip-Hop,Hip-Hop,268359550.0,3.64,100.0,1.545,66.4,36.38,100.0
BR,2017,Latin,Latin,3049780157.0,41.38,100.0,1.545,54.34,47.85,100.0
BR,2017,Other,Other,1141729842.0,15.49,100.0,1.545,12.84,25.05,100.0
BR,2017,Pop,Pop,1984120924.0,26.92,100.0,1.545,48.61,40.35,100.0
BR,2017,R&B,R&B,78585877.0,1.07,100.0,1.545,45.03,28.94,100.0
BR,2017,Rock,Rock,130765287.0,1.77,100.0,1.545,37.74,27.03,100.0
DE,2017,Country,Country,754195.0,0.01,100.0,1.513,61.54,33.47,100.0
DE,2017,Electronic,Electronic,548276535.0,8.53,100.0,1.513,40.83,30.66,100.0
DE,2017,Hip-Hop,Hip-Hop,1820964965.0,28.33,100.0,1.513,35.41,36.96,100.0
DE,2017,Jazz,Jazz,163742.0,0.0,100.0,1.513,0.0,15.0,100.0
DE,2017,Latin,Latin,153815500.0,2.39,100.0,1.513,72.0,37.56,100.0
DE,2017,Other,Other,1299800711.0,20.22,100.0,1.513,12.43,26.82,100.0
DE,2017,Pop,Pop,2241980736.0,34.89,100.0,1.513,48.78,43.59,100.0
DE,2017,R&B,R&B,96102624.0,1.5,100.0,1.513,40.49,27.75,100.0
DE,2017,Rock,Rock,264861036.0,4.12,100.0,1.513,48.68,31.25,100.0
UK,2017,Country,Country,1755430.0,0.02,100.0,1.489,35.48,25.65,100.0
UK,2017,Electronic,Electronic,443717148.0,5.83,100.0,1.489,44.73,30.75,100.0
UK,2017,Hip-Hop,Hip-Hop,1061187750.0,13.94,100.0,1.489,52.15,36.22,100.0
UK,2017,Jazz,Jazz,391454.0,0.01,100.0,1.489,0.0,15.0,100.0
UK,2017,Latin,Latin,135508945.0,1.78,100.0,1.489,92.02,43.32,100.0
UK,2017,Other,Other,1636165347.0,21.5,100.0,1.489,13.1,27.53,100.0
UK,2017,Pop,Pop,3749657693.0,49.26,100.0,1.489,46.56,48.67,100.0
UK,2017,R&B,R&B,248173523.0,3.26,100.0,1.489,35.95,27.09,100.0
UK,2017,Rock,Rock,334950294.0,4.4,100.0,1.489,29.0,25.46,100.0
BR,2018,Country,Country,3002835.0,0.03,446.3854615727665,1.472,87.88,56.38,446.39
BR,2018,Electronic,Electronic,735201027.0,7.33,102.76887219135614,1.472,33.3,28.34,102.77
BR,2018,Hip-Hop,Hip-Hop,499660708.0,4.98,186.1907683181016,1.472,54.36,46.23,186.19
BR,2018,Latin,Latin,5200660584.0,51.88,170.52575321087315,1.472,51.14,61.67,170.53
BR,2018,Other,Other,2097180920.0,20.92,183.68451474705344,1.472,21.42,42.35,183.68
BR,2018,Pop,Pop,1306041912.0,13.03,65.82471341348548,1.472,58.21,32.55,65.82
BR,2018,R&B,R&B,61498384.0,0.61,78.25628006925469,1.472,56.33,28.88,78.26
BR,2018,Rock,Rock,121939492.0,1.22,93.25065909884785,1.472,30.22,23.54,93.25
DE,2018,Country,Country,4390754.0,0.05,582.1775535504744,1.403,57.89,47.39,582.18
DE,2018,Electronic,Electronic,475836757.0,5.9,86.78772966273306,1.403,46.6,29.36,86.79
DE,2018,Hip-Hop,Hip-Hop,3592968620.0,44.54,197.31124371192942,1.403,46.16,61.26,197.31
DE,2018,Jazz,Jazz,174967.0,0.0,106.85529674732201,1.403,0.0,16.03,106.86
DE,2018,Latin,Latin,130533816.0,1.62,84.86388952998884,1.403,69.68,34.28,84.86
DE,2018,Other,Other,1431991770.0,17.75,110.17010206882401,1.403,17.76,28.95,110.17
DE,2018,Pop,Pop,2221170141.0,27.54,99.07177636873325,1.403,49.37,40.69,99.07
DE,2018,R&B,R&B,70137736.0,0.87,72.98212377634975,1.403,55.27,27.88,72.98
DE,2018,Rock,Rock,138979796.0,1.72,52.47272233730899,1.403,31.01,17.86,52.47
UK,2018,Country,Country,5355358.0,0.06,305.0738565479683,1.441,34.43,40.35,305.07
UK,2018,Electronic,Electronic,217413732.0,2.6,48.99827130413269,1.441,42.51,21.14,49.0
UK,2018,Hip-Hop,Hip-Hop,1986495017.0,23.73,187.19543426693343,1.441,59.51,55.42,187.2
UK,2018,Jazz,Jazz,141126.0,0.0,36.051745543537685,1.441,0.0,5.41,36.05
UK,2018,Latin,Latin,48260630.0,0.58,35.61435003423575,1.441,91.55,33.04,35.61
UK,2018,Other,Other,2150922580.0,25.7,131.46119882955816,1.441,15.89,34.77,131.46
UK,2018,Pop,Pop,3404795940.0,40.68,90.80284705337768,1.441,49.42,44.72,90.8
UK,2018,R&B,R&B,189188948.0,2.26,76.232527029082,1.441,52.75,28.16,76.23
UK,2018,Rock,Rock,367141928.0,4.39,109.6108690085222,1.441,19.71,24.11,109.61
BR,2019,Country,Country,3276716.0,0.03,487.0991526683514,1.471,36.67,41.01,487.1
BR,2019,Electronic,Electronic,622856450.0,5.09,87.0649693796086,1.471,31.45,24.53,87.06
BR,2019,Hip-Hop,Hip-Hop,653153033.0,5.34,243.38728880712463,1.471,40.99,44.43,243.39
BR,2019,Latin,Latin,6105078074.0,49.92,200.18092320481972,1.471,53.31,65.96,200.18
BR,2019,Other,Other,2929338900.0,23.95,256.5702316117616,1.471,23.65,46.67,256.57
BR,2019,Pop,Pop,1651645412.0,13.5,83.24318301478687,1.471,57.7,35.2,83.24
BR,2019,R&B,R&B,97202257.0,0.79,123.68921835662661,1.471,22.39,25.59,123.69
BR,2019,Rock,Rock,167993319.0,1.37,128.46935364428938,1.471,8.91,22.49,128.47
DE,2019,Country,Country,8247261.0,0.08,1093.5183871545157,1.309,61.25,48.41,1093.52
DE,2019,Electronic,Electronic,497603199.0,4.8,90.75770477757177,1.309,41.51,27.99,90.76
DE,2019,Hip-Hop,Hip-Hop,5686608004.0,54.9,312.28541533197483,1.309,46.38,65.87,312.29
DE,2019,Jazz,Jazz,180597.0,0.0,110.29363266602338,1.309,0.0,16.54,110.29
DE,2019,Latin,Latin,119522493.0,1.15,77.70510319181096,1.309,86.81,38.16,77.71
DE,2019,Other,Other,1599854053.0,15.44,123.08456515377301,1.309,22.71,31.45,123.08
DE,2019,Pop,Pop,2276767248.0,21.98,101.55159727474125,1.309,45.19,37.58,101.55
DE,2019,R&B,R&B,60608020.0,0.59,63.06593668035537,1.309,38.08,21.12,63.07
DE,2019,Rock,Rock,109500610.0,1.06,41.34266468700213,1.309,18.54,12.19,41.34
UK,2019,Country,Country,11907264.0,0.14,678.3103854895951,1.448,55.26,46.63,678.31
UK,2019,Electronic,Electronic,351805297.0,4.17,79.28593667964348,1.448,54.11,29.79,79.29
UK,2019,Hip-Hop,Hip-Hop,1747814026.0,20.71,164.7035622113052,1.448,55.0,49.49,164.7
UK,2019,Jazz,Jazz,132655.0,0.0,33.88776203589694,1.448,0.0,5.08,33.89
UK,2019,Latin,Latin,29272582.0,0.35,21.60195550190432,1.448,91.97,30.97,21.6
UK,2019,Other,Other,2000035006.0,23.7,122.23917403379647,1.448,22.75,34.64,122.24
UK,2019,Pop,Pop,3788276278.0,44.9,101.02992294662243,1.448,51.07,48.44,101.03
UK,2019,R&B,R&B,144792214.0,1.72,58.34313517804234,1.448,48.35,23.94,58.34
UK,2019,Rock,Rock,363998717.0,4.31,108.67245783041469,1.448,6.34,19.93,108.67
BR,2020,Electronic,Electronic,686202854.0,4.95,95.91974277814741,1.526,36.59,27.35,95.92
BR,2020,Hip-Hop,Hip-Hop,841538207.0,6.07,313.586085160748,1.526,43.59,45.5,313.59
BR,2020,Latin,Latin,5998592175.0,43.23,196.6893305811485,1.526,51.41,62.22,196.69
BR,2020,Other,Other,3456800641.0,24.91,302.76870357917824,1.526,19.44,45.79,302.77
BR,2020,Pop,Pop,2440095549.0,17.59,122.98119129154448,1.526,63.77,44.61,122.98
BR,2020,R&B,R&B,367126999.0,2.65,467.16663733357586,1.526,67.62,51.35,467.17
BR,2020,Rock,Rock,84160018.0,0.61,64.3596017955438,1.526,5.05,11.41,64.36
DE,2020,Country,Country,567099.0,0.01,75.19262259760407,1.342,0.0,11.28,75.19
DE,2020,Electronic,Electronic,643744709.5,5.99,117.41241297149439,1.342,27.64,28.3,117.41
DE,2020,Hip-Hop,Hip-Hop,5160092394.0,48.02,283.3713164821927,1.342,38.94,60.89,283.37
DE,2020,Jazz,Jazz,3964040.5,0.04,2420.906364891109,1.342,57.5,47.27,2420.91
DE,2020,Latin,Latin,30686308.0,0.29,19.95007525249406,1.342,76.27,25.99,19.95
DE,2020,Other,Other,2430929129.5,22.62,187.02321893867622,1.342,17.01,42.2,187.02
DE,2020,Pop,Pop,2158768533.5,20.09,96.28845149452702,1.342,48.85,37.13,96.29
DE,2020,R&B,R&B,236399196.0,2.2,245.98620324872712,1.342,57.99,48.28,245.99
DE,2020,Rock,Rock,81678830.0,0.76,30.838371409224575,1.342,23.86,12.09,30.84
UK,2020,Country,Country,9551779.0,0.12,544.1275926696023,1.494,14.29,34.33,544.13
UK,2020,Electronic,Electronic,392563477.0,4.8,88.47155868765297,1.494,47.4,29.41,88.47
UK,2020,Hip-Hop,Hip-Hop,1910474024.0,23.38,180.03166960794638,1.494,53.65,52.45,180.03
UK,2020,Jazz,Jazz,1516279.0,0.02,387.34538413197976,1.494,0.0,30.01,387.35
UK,2020,Latin,Latin,10792271.0,0.13,7.9642498877103645,1.494,68.71,21.86,7.96
UK,2020,Other,Other,2357093640.0,28.84,144.06206831857563,1.494,19.8,39.09,144.06
UK,2020,Pop,Pop,2853346797.0,34.92,76.09619412264574,1.494,46.92,39.46,76.1
